ds,holiday,country,year
1995-01-01,Ujev,HU,1995
1995-03-15,Nemzeti unnep,HU,1995
1995-04-16,Husvet,HU,1995
1995-04-17,Husvet Hetfo,HU,1995
1995-05-01,A Munka unnepe,HU,1995
1995-06-04,Punkosd,HU,1995
1995-06-05,Punkosdhetfo,HU,1995
1995-08-20,Az allamalapitas unnepe,HU,1995
1995-10-23,Nemzeti unnep,HU,1995
1995-12-25,Karacsony,HU,1995
1995-12-26,Karacsony masnapja,HU,1995
1996-01-01,Ujev,HU,1996
1996-03-15,Nemzeti unnep,HU,1996
1996-04-07,Husvet,HU,1996
1996-04-08,Husvet Hetfo,HU,1996
1996-05-01,A Munka unnepe,HU,1996
1996-05-26,Punkosd,HU,1996
1996-05-27,Punkosdhetfo,HU,1996
1996-08-20,Az allamalapitas unnepe,HU,1996
1996-10-23,Nemzeti unnep,HU,1996
1996-12-25,Karacsony,HU,1996
1996-12-26,Karacsony masnapja,HU,1996
1997-01-01,Ujev,HU,1997
1997-03-15,Nemzeti unnep,HU,1997
1997-03-30,Husvet,HU,1997
1997-03-31,Husvet Hetfo,HU,1997
1997-05-01,A Munka unnepe,HU,1997
1997-05-18,Punkosd,HU,1997
1997-05-19,Punkosdhetfo,HU,1997
1997-08-20,Az allamalapitas unnepe,HU,1997
1997-10-23,Nemzeti unnep,HU,1997
1997-12-25,Karacsony,HU,1997
1997-12-26,Karacsony masnapja,HU,1997
1998-01-01,Ujev,HU,1998
1998-03-15,Nemzeti unnep,HU,1998
1998-04-12,Husvet,HU,1998
1998-04-13,Husvet Hetfo,HU,1998
1998-05-01,A Munka unnepe,HU,1998
1998-05-31,Punkosd,HU,1998
1998-06-01,Punkosdhetfo,HU,1998
1998-08-20,Az allamalapitas unnepe,HU,1998
1998-10-23,Nemzeti unnep,HU,1998
1998-12-25,Karacsony,HU,1998
1998-12-26,Karacsony masnapja,HU,1998
1999-01-01,Ujev,HU,1999
1999-03-15,Nemzeti unnep,HU,1999
1999-04-04,Husvet,HU,1999
1999-04-05,Husvet Hetfo,HU,1999
1999-05-01,A Munka unnepe,HU,1999
1999-05-23,Punkosd,HU,1999
1999-05-24,Punkosdhetfo,HU,1999
1999-08-20,Az allamalapitas unnepe,HU,1999
1999-10-23,Nemzeti unnep,HU,1999
1999-11-01,Mindenszentek,HU,1999
1999-12-25,Karacsony,HU,1999
1999-12-26,Karacsony masnapja,HU,1999
2000-01-01,Ujev,HU,2000
2000-03-15,Nemzeti unnep,HU,2000
2000-04-23,Husvet,HU,2000
2000-04-24,Husvet Hetfo,HU,2000
2000-05-01,A Munka unnepe,HU,2000
2000-06-11,Punkosd,HU,2000
2000-06-12,Punkosdhetfo,HU,2000
2000-08-20,Az allamalapitas unnepe,HU,2000
2000-10-23,Nemzeti unnep,HU,2000
2000-11-01,Mindenszentek,HU,2000
2000-12-25,Karacsony,HU,2000
2000-12-26,Karacsony masnapja,HU,2000
2001-01-01,Ujev,HU,2001
2001-03-15,Nemzeti unnep,HU,2001
2001-04-15,Husvet,HU,2001
2001-04-16,Husvet Hetfo,HU,2001
2001-05-01,A Munka unnepe,HU,2001
2001-06-03,Punkosd,HU,2001
2001-06-04,Punkosdhetfo,HU,2001
2001-08-20,Az allamalapitas unnepe,HU,2001
2001-10-23,Nemzeti unnep,HU,2001
2001-11-01,Mindenszentek,HU,2001
2001-12-25,Karacsony,HU,2001
2001-12-26,Karacsony masnapja,HU,2001
2002-01-01,Ujev,HU,2002
2002-03-15,Nemzeti unnep,HU,2002
2002-03-31,Husvet,HU,2002
2002-04-01,Husvet Hetfo,HU,2002
2002-05-01,A Munka unnepe,HU,2002
2002-05-19,Punkosd,HU,2002
2002-05-20,Punkosdhetfo,HU,2002
2002-08-20,Az allamalapitas unnepe,HU,2002
2002-10-23,Nemzeti unnep,HU,2002
2002-11-01,Mindenszentek,HU,2002
2002-12-25,Karacsony,HU,2002
2002-12-26,Karacsony masnapja,HU,2002
2003-01-01,Ujev,HU,2003
2003-03-15,Nemzeti unnep,HU,2003
2003-04-20,Husvet,HU,2003
2003-04-21,Husvet Hetfo,HU,2003
2003-05-01,A Munka unnepe,HU,2003
2003-06-08,Punkosd,HU,2003
2003-06-09,Punkosdhetfo,HU,2003
2003-08-20,Az allamalapitas unnepe,HU,2003
2003-10-23,Nemzeti unnep,HU,2003
2003-11-01,Mindenszentek,HU,2003
2003-12-25,Karacsony,HU,2003
2003-12-26,Karacsony masnapja,HU,2003
2004-01-01,Ujev,HU,2004
2004-03-15,Nemzeti unnep,HU,2004
2004-04-11,Husvet,HU,2004
2004-04-12,Husvet Hetfo,HU,2004
2004-05-01,A Munka unnepe,HU,2004
2004-05-30,Punkosd,HU,2004
2004-05-31,Punkosdhetfo,HU,2004
2004-08-20,Az allamalapitas unnepe,HU,2004
2004-10-23,Nemzeti unnep,HU,2004
2004-11-01,Mindenszentek,HU,2004
2004-12-25,Karacsony,HU,2004
2004-12-26,Karacsony masnapja,HU,2004
2005-01-01,Ujev,HU,2005
2005-03-15,Nemzeti unnep,HU,2005
2005-03-27,Husvet,HU,2005
2005-03-28,Husvet Hetfo,HU,2005
2005-05-01,A Munka unnepe,HU,2005
2005-05-15,Punkosd,HU,2005
2005-05-16,Punkosdhetfo,HU,2005
2005-08-20,Az allamalapitas unnepe,HU,2005
2005-10-23,Nemzeti unnep,HU,2005
2005-11-01,Mindenszentek,HU,2005
2005-12-25,Karacsony,HU,2005
2005-12-26,Karacsony masnapja,HU,2005
2006-01-01,Ujev,HU,2006
2006-03-15,Nemzeti unnep,HU,2006
2006-04-16,Husvet,HU,2006
2006-04-17,Husvet Hetfo,HU,2006
2006-05-01,A Munka unnepe,HU,2006
2006-06-04,Punkosd,HU,2006
2006-06-05,Punkosdhetfo,HU,2006
2006-08-20,Az allamalapitas unnepe,HU,2006
2006-10-23,Nemzeti unnep,HU,2006
2006-11-01,Mindenszentek,HU,2006
2006-12-25,Karacsony,HU,2006
2006-12-26,Karacsony masnapja,HU,2006
2007-01-01,Ujev,HU,2007
2007-03-15,Nemzeti unnep,HU,2007
2007-04-08,Husvet,HU,2007
2007-04-09,Husvet Hetfo,HU,2007
2007-05-01,A Munka unnepe,HU,2007
2007-05-27,Punkosd,HU,2007
2007-05-28,Punkosdhetfo,HU,2007
2007-08-20,Az allamalapitas unnepe,HU,2007
2007-10-23,Nemzeti unnep,HU,2007
2007-11-01,Mindenszentek,HU,2007
2007-12-25,Karacsony,HU,2007
2007-12-26,Karacsony masnapja,HU,2007
2008-01-01,Ujev,HU,2008
2008-03-15,Nemzeti unnep,HU,2008
2008-03-23,Husvet,HU,2008
2008-03-24,Husvet Hetfo,HU,2008
2008-05-01,A Munka unnepe,HU,2008
2008-05-11,Punkosd,HU,2008
2008-05-12,Punkosdhetfo,HU,2008
2008-08-20,Az allamalapitas unnepe,HU,2008
2008-10-23,Nemzeti unnep,HU,2008
2008-11-01,Mindenszentek,HU,2008
2008-12-25,Karacsony,HU,2008
2008-12-26,Karacsony masnapja,HU,2008
2009-01-01,Ujev,HU,2009
2009-03-15,Nemzeti unnep,HU,2009
2009-04-12,Husvet,HU,2009
2009-04-13,Husvet Hetfo,HU,2009
2009-05-01,A Munka unnepe,HU,2009
2009-05-31,Punkosd,HU,2009
2009-06-01,Punkosdhetfo,HU,2009
2009-08-20,Az allamalapitas unnepe,HU,2009
2009-10-23,Nemzeti unnep,HU,2009
2009-11-01,Mindenszentek,HU,2009
2009-12-25,Karacsony,HU,2009
2009-12-26,Karacsony masnapja,HU,2009
2010-01-01,Ujev,HU,2010
2010-03-15,Nemzeti unnep,HU,2010
2010-04-04,Husvet,HU,2010
2010-04-05,Husvet Hetfo,HU,2010
2010-05-01,A Munka unnepe,HU,2010
2010-05-23,Punkosd,HU,2010
2010-05-24,Punkosdhetfo,HU,2010
2010-08-20,Az allamalapitas unnepe,HU,2010
2010-10-23,Nemzeti unnep,HU,2010
2010-11-01,Mindenszentek,HU,2010
2010-12-24,Szenteste,HU,2010
2010-12-25,Karacsony,HU,2010
2010-12-26,Karacsony masnapja,HU,2010
2011-01-01,Ujev,HU,2011
2011-03-14,Nemzeti unnep elotti pihenonap,HU,2011
2011-03-15,Nemzeti unnep,HU,2011
2011-04-24,Husvet,HU,2011
2011-04-25,Husvet Hetfo,HU,2011
2011-05-01,A Munka unnepe,HU,2011
2011-06-12,Punkosd,HU,2011
2011-06-13,Punkosdhetfo,HU,2011
2011-08-20,Az allamalapitas unnepe,HU,2011
2011-10-23,Nemzeti unnep,HU,2011
2011-10-31,Mindenszentek elotti pihenonap,HU,2011
2011-11-01,Mindenszentek,HU,2011
2011-12-25,Karacsony,HU,2011
2011-12-26,Karacsony masnapja,HU,2011
2012-01-01,Ujev,HU,2012
2012-03-15,Nemzeti unnep,HU,2012
2012-03-16,Nemzeti unnep utani pihenonap,HU,2012
2012-04-08,Husvet,HU,2012
2012-04-09,Husvet Hetfo,HU,2012
2012-04-30,A Munka unnepe elotti pihenonap,HU,2012
2012-05-01,A Munka unnepe,HU,2012
2012-05-27,Punkosd,HU,2012
2012-05-28,Punkosdhetfo,HU,2012
2012-08-20,Az allamalapitas unnepe,HU,2012
2012-10-22,Nemzeti unnep elotti pihenonap,HU,2012
2012-10-23,Nemzeti unnep,HU,2012
2012-11-01,Mindenszentek,HU,2012
2012-11-02,Mindenszentek utani pihenonap,HU,2012
2012-12-24,Szenteste,HU,2012
2012-12-25,Karacsony,HU,2012
2012-12-26,Karacsony masnapja,HU,2012
2013-01-01,Ujev,HU,2013
2013-03-15,Nemzeti unnep,HU,2013
2013-03-31,Husvet,HU,2013
2013-04-01,Husvet Hetfo,HU,2013
2013-05-01,A Munka unnepe,HU,2013
2013-05-19,Punkosd,HU,2013
2013-05-20,Punkosdhetfo,HU,2013
2013-08-19,Az allamalapitas unnepe elotti pihenonap,HU,2013
2013-08-20,Az allamalapitas unnepe,HU,2013
2013-10-23,Nemzeti unnep,HU,2013
2013-11-01,Mindenszentek,HU,2013
2013-12-24,Szenteste,HU,2013
2013-12-25,Karacsony,HU,2013
2013-12-26,Karacsony masnapja,HU,2013
2013-12-27,Karacsony masnapja utani pihenonap,HU,2013
2014-01-01,Ujev,HU,2014
2014-03-15,Nemzeti unnep,HU,2014
2014-04-20,Husvet,HU,2014
2014-04-21,Husvet Hetfo,HU,2014
2014-05-01,A Munka unnepe,HU,2014
2014-05-02,A Munka unnepe utani pihenonap,HU,2014
2014-06-08,Punkosd,HU,2014
2014-06-09,Punkosdhetfo,HU,2014
2014-08-20,Az allamalapitas unnepe,HU,2014
2014-10-23,Nemzeti unnep,HU,2014
2014-10-24,Nemzeti unnep utani pihenonap,HU,2014
2014-11-01,Mindenszentek,HU,2014
2014-12-24,Szenteste,HU,2014
2014-12-25,Karacsony,HU,2014
2014-12-26,Karacsony masnapja,HU,2014
2015-01-01,Ujev,HU,2015
2015-01-02,Ujev utani pihenonap,HU,2015
2015-03-15,Nemzeti unnep,HU,2015
2015-04-05,Husvet,HU,2015
2015-04-06,Husvet Hetfo,HU,2015
2015-05-01,A Munka unnepe,HU,2015
2015-05-24,Punkosd,HU,2015
2015-05-25,Punkosdhetfo,HU,2015
2015-08-20,Az allamalapitas unnepe,HU,2015
2015-08-21,Az allamalapitas unnepe utani pihenonap,HU,2015
2015-10-23,Nemzeti unnep,HU,2015
2015-11-01,Mindenszentek,HU,2015
2015-12-24,Szenteste,HU,2015
2015-12-25,Karacsony,HU,2015
2015-12-26,Karacsony masnapja,HU,2015
2016-01-01,Ujev,HU,2016
2016-03-14,Nemzeti unnep elotti pihenonap,HU,2016
2016-03-15,Nemzeti unnep,HU,2016
2016-03-27,Husvet,HU,2016
2016-03-28,Husvet Hetfo,HU,2016
2016-05-01,A Munka unnepe,HU,2016
2016-05-15,Punkosd,HU,2016
2016-05-16,Punkosdhetfo,HU,2016
2016-08-20,Az allamalapitas unnepe,HU,2016
2016-10-23,Nemzeti unnep,HU,2016
2016-10-31,Mindenszentek elotti pihenonap,HU,2016
2016-11-01,Mindenszentek,HU,2016
2016-12-25,Karacsony,HU,2016
2016-12-26,Karacsony masnapja,HU,2016
2017-01-01,Ujev,HU,2017
2017-03-15,Nemzeti unnep,HU,2017
2017-04-14,Nagypentek,HU,2017
2017-04-16,Husvet,HU,2017
2017-04-17,Husvet Hetfo,HU,2017
2017-05-01,A Munka unnepe,HU,2017
2017-06-04,Punkosd,HU,2017
2017-06-05,Punkosdhetfo,HU,2017
2017-08-20,Az allamalapitas unnepe,HU,2017
2017-10-23,Nemzeti unnep,HU,2017
2017-11-01,Mindenszentek,HU,2017
2017-12-25,Karacsony,HU,2017
2017-12-26,Karacsony masnapja,HU,2017
2018-01-01,Ujev,HU,2018
2018-03-15,Nemzeti unnep,HU,2018
2018-03-16,Nemzeti unnep utani pihenonap,HU,2018
2018-03-30,Nagypentek,HU,2018
2018-04-01,Husvet,HU,2018
2018-04-02,Husvet Hetfo,HU,2018
2018-04-30,A Munka unnepe elotti pihenonap,HU,2018
2018-05-01,A Munka unnepe,HU,2018
2018-05-20,Punkosd,HU,2018
2018-05-21,Punkosdhetfo,HU,2018
2018-08-20,Az allamalapitas unnepe,HU,2018
2018-10-22,Nemzeti unnep elotti pihenonap,HU,2018
2018-10-23,Nemzeti unnep,HU,2018
2018-11-01,Mindenszentek,HU,2018
2018-11-02,Mindenszentek utani pihenonap,HU,2018
2018-12-24,Szenteste,HU,2018
2018-12-25,Karacsony,HU,2018
2018-12-26,Karacsony masnapja,HU,2018
2018-12-31,Szilveszter,HU,2018
2018-12-31,Ujev elotti pihenonap,HU,2018
2019-01-01,Ujev,HU,2019
2019-03-15,Nemzeti unnep,HU,2019
2019-04-19,Nagypentek,HU,2019
2019-04-21,Husvet,HU,2019
2019-04-22,Husvet Hetfo,HU,2019
2019-05-01,A Munka unnepe,HU,2019
2019-06-09,Punkosd,HU,2019
2019-06-10,Punkosdhetfo,HU,2019
2019-08-19,Az allamalapitas unnepe elotti pihenonap,HU,2019
2019-08-20,Az allamalapitas unnepe,HU,2019
2019-10-23,Nemzeti unnep,HU,2019
2019-11-01,Mindenszentek,HU,2019
2019-12-24,Szenteste,HU,2019
2019-12-25,Karacsony,HU,2019
2019-12-26,Karacsony masnapja,HU,2019
2019-12-27,Karacsony masnapja utani pihenonap,HU,2019
2020-01-01,Ujev,HU,2020
2020-03-15,Nemzeti unnep,HU,2020
2020-04-10,Nagypentek,HU,2020
2020-04-12,Husvet,HU,2020
2020-04-13,Husvet Hetfo,HU,2020
2020-05-01,A Munka unnepe,HU,2020
2020-05-31,Punkosd,HU,2020
2020-06-01,Punkosdhetfo,HU,2020
2020-08-20,Az allamalapitas unnepe,HU,2020
2020-08-21,Az allamalapitas unnepe utani pihenonap,HU,2020
2020-10-23,Nemzeti unnep,HU,2020
2020-11-01,Mindenszentek,HU,2020
2020-12-24,Szenteste,HU,2020
2020-12-25,Karacsony,HU,2020
2020-12-26,Karacsony masnapja,HU,2020
2021-01-01,Ujev,HU,2021
2021-03-15,Nemzeti unnep,HU,2021
2021-04-02,Nagypentek,HU,2021
2021-04-04,Husvet,HU,2021
2021-04-05,Husvet Hetfo,HU,2021
2021-05-01,A Munka unnepe,HU,2021
2021-05-23,Punkosd,HU,2021
2021-05-24,Punkosdhetfo,HU,2021
2021-08-20,Az allamalapitas unnepe,HU,2021
2021-10-23,Nemzeti unnep,HU,2021
2021-11-01,Mindenszentek,HU,2021
2021-12-24,Szenteste,HU,2021
2021-12-25,Karacsony,HU,2021
2021-12-26,Karacsony masnapja,HU,2021
2022-01-01,Ujev,HU,2022
2022-03-14,Nemzeti unnep elotti pihenonap,HU,2022
2022-03-15,Nemzeti unnep,HU,2022
2022-04-15,Nagypentek,HU,2022
2022-04-17,Husvet,HU,2022
2022-04-18,Husvet Hetfo,HU,2022
