ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-03-28 22:00:00,7.036347854351666,7.999999999951696,8.000000000050957,7.036347854351666,7.036347854351666,0.9636521456484439,0.9636521456484439,0.9636521456484439,0.9636521456484439,0.9636521456484439,0.9636521456484439,0.0,0.0,0.0,8.00000000000011
2021-03-29 00:00:00,6.992302329197845,7.999999999951206,8.000000000049875,6.992302329197845,6.992302329197845,1.007697670802166,1.007697670802166,1.007697670802166,1.007697670802166,1.007697670802166,1.007697670802166,0.0,0.0,0.0,8.00000000000001
2021-03-29 02:00:00,6.9863894865289184,4.999999999950932,5.000000000047466,6.9863894865289184,6.9863894865289184,-1.9863894865292342,-1.9863894865292342,-1.9863894865292342,-1.9863894865292342,-1.9863894865292342,-1.9863894865292342,0.0,0.0,0.0,4.999999999999684
2021-03-29 04:00:00,6.975110917744048,7.9999999999488995,8.00000000005475,6.975110917744048,6.975110917744048,1.0248890822556835,1.0248890822556835,1.0248890822556835,1.0248890822556835,1.0248890822556835,1.0248890822556835,0.0,0.0,0.0,7.999999999999732
2021-03-29 06:00:00,6.962285105221274,7.999999999950731,8.000000000048619,6.962285105221274,6.962285105221274,1.0377148947790362,1.0377148947790362,1.0377148947790362,1.0377148947790362,1.0377148947790362,1.0377148947790362,0.0,0.0,0.0,8.00000000000031
2021-03-29 08:00:00,6.970151399245914,4.999999999943287,5.000000000050937,6.970151399245914,6.970151399245914,-1.9701513992463195,-1.9701513992463195,-1.9701513992463195,-1.9701513992463195,-1.9701513992463195,-1.9701513992463195,0.0,0.0,0.0,4.999999999999595
2021-03-29 10:00:00,6.978019280621648,7.9999999999503695,8.000000000049756,6.978019280621648,6.978019280621648,1.0219807193783934,1.0219807193783934,1.0219807193783934,1.0219807193783934,1.0219807193783934,1.0219807193783934,0.0,0.0,0.0,8.000000000000043
2021-03-29 12:00:00,6.986396864403857,7.999999999949214,8.000000000049534,6.986396864403857,6.986396864403857,1.0136031355958786,1.0136031355958786,1.0136031355958786,1.0136031355958786,1.0136031355958786,1.0136031355958786,0.0,0.0,0.0,7.999999999999735
2021-03-29 14:00:00,6.994774448186066,4.99999999994614,5.000000000050835,6.994774448186066,6.994774448186066,-1.994774448186475,-1.994774448186475,-1.994774448186475,-1.994774448186475,-1.994774448186475,-1.994774448186475,0.0,0.0,0.0,4.9999999999995905
2021-03-29 16:00:00,7.003152031968275,7.999999999947922,8.000000000052216,7.003152031968275,7.003152031968275,0.996847968031421,0.996847968031421,0.996847968031421,0.996847968031421,0.996847968031421,0.996847968031421,0.0,0.0,0.0,7.999999999999696
2021-03-30 16:00:00,7.103683037354782,7.491358586409373,8.654775769104395,6.494510618416439,7.657927801119232,0.996847967960789,0.996847967960789,0.996847967960789,0.996847967960789,0.996847967960789,0.996847967960789,0.0,0.0,0.0,8.10053100531557
2021-03-31 16:00:00,7.204214042741289,6.405571814921163,9.733739298707398,5.408723846939871,8.736891330730877,0.996847967990368,0.996847967990368,0.996847967990368,0.996847967990368,0.996847967990368,0.996847967990368,0.0,0.0,0.0,8.201062010731658
2021-04-01 16:00:00,7.3047450481277965,5.22899995072547,11.181974477618699,4.232151982649802,10.185126509602235,0.9968479680200752,0.9968479680200752,0.9968479680200752,0.9968479680200752,0.9968479680200752,0.9968479680200752,0.0,0.0,0.0,8.301593016147871
2021-04-02 16:00:00,7.405276053514303,3.821019961454639,12.719759620971303,2.8241719933872815,11.722911652936558,0.9968479680496541,0.9968479680496541,0.9968479680496541,0.9968479680496541,0.9968479680496541,0.9968479680496541,0.0,0.0,0.0,8.402124021563957
2021-04-03 16:00:00,7.50580705890081,2.081013305346412,14.341982705406727,1.0841653373892488,13.345134737435773,0.9968479679790225,0.9968479679790225,0.9968479679790225,0.9968479679790225,0.9968479679790225,0.9968479679790225,0.0,0.0,0.0,8.502655026879832
2021-04-04 16:00:00,7.606338064287318,-0.03661101183809212,16.299257549310866,-1.033458979833136,15.302409581289202,0.9968479680086014,0.9968479680086014,0.9968479680086014,0.9968479680086014,0.9968479680086014,0.9968479680086014,0.0,0.0,0.0,8.60318603229592
2021-04-05 16:00:00,7.706869069673824,-1.982740671089976,18.332339605303204,-2.979588639121848,17.33549163727194,0.9968479680383086,0.9968479680383086,0.9968479680383086,0.9968479680383086,0.9968479680383086,0.9968479680383086,0.0,0.0,0.0,8.703717037712133
2021-04-06 16:00:00,7.807400075060332,-4.493422682975131,20.26977609326131,-5.490270650948783,19.272928125278636,0.9968479679675489,0.9968479679675489,0.9968479679675489,0.9968479679675489,0.9968479679675489,0.9968479679675489,0.0,0.0,0.0,8.804248043027881
2021-04-07 16:00:00,7.907931080446838,-6.5451669989492665,22.485107701720302,-7.542014966899884,21.488259733704208,0.9968479679972556,0.9968479679972556,0.9968479679972556,0.9968479679972556,0.9968479679972556,0.9968479679972556,0.0,0.0,0.0,8.904779048444095
2021-04-08 16:00:00,8.008462085833346,-8.872278464476713,25.351017982253563,-9.869126432516648,24.35417001421895,0.996847968026835,0.996847968026835,0.996847968026835,0.996847968026835,0.996847968026835,0.996847968026835,0.0,0.0,0.0,9.00531005386018
2021-04-09 16:00:00,8.108993091219853,-11.213955236687104,28.03736682850138,-12.210803204656697,27.04051886051948,0.9968479679562032,0.9968479679562032,0.9968479679562032,0.9968479679562032,0.9968479679562032,0.9968479679562032,0.0,0.0,0.0,9.105841059176056
2021-04-10 16:00:00,8.20952409660636,-14.633351386023215,30.89820012002426,-15.630199354044786,29.901352152013732,0.9968479679857822,0.9968479679857822,0.9968479679857822,0.9968479679857822,0.9968479679857822,0.9968479679857822,0.0,0.0,0.0,9.206372064592143
2021-04-11 16:00:00,8.310055101992866,-18.188345047379425,33.081510749894015,-19.18519301542343,32.084662781877064,0.9968479680154892,0.9968479680154892,0.9968479680154892,0.9968479680154892,0.9968479680154892,0.9968479680154892,0.0,0.0,0.0,9.306903070008355
2021-04-12 16:00:00,8.410586107379373,-21.56484216383606,35.422206307819344,-22.56169013185205,34.42535833981755,0.9968479680450684,0.9968479680450684,0.9968479680450684,0.9968479680450684,0.9968479680450684,0.9968479680450684,0.0,0.0,0.0,9.407434075424442
2021-04-13 16:00:00,8.51111711276588,-25.125194179586217,38.657491726243336,-26.122042147602688,37.66064375829571,0.9968479679744366,0.9968479679744366,0.9968479679744366,0.9968479679744366,0.9968479679744366,0.9968479679744366,0.0,0.0,0.0,9.507965080740318
2021-04-14 16:00:00,8.611648118152388,-28.551919596934386,41.58742158471335,-29.54876756495866,40.590573616696986,0.9968479680040154,0.9968479680040154,0.9968479680040154,0.9968479680040154,0.9968479680040154,0.9968479680040154,0.0,0.0,0.0,9.608496086156403
2021-04-15 16:00:00,8.712179123538895,-31.683080136967746,44.48460019312587,-32.679928105016465,43.48775222511698,0.9968479680335948,0.9968479680335948,0.9968479680335948,0.9968479680335948,0.9968479680335948,0.9968479680335948,0.0,0.0,0.0,9.70902709157249
2021-04-16 16:00:00,8.812710128925403,-35.453350694180806,47.75082321656538,-36.450198662150065,46.75397524857628,0.9968479679629629,0.9968479679629629,0.9968479679629629,0.9968479679629629,0.9968479679629629,0.9968479679629629,0.0,0.0,0.0,9.809558096888367
2021-04-17 16:00:00,8.91324113431191,-38.820930765800696,51.21790164534292,-39.81777873386136,50.22105367733617,0.996847967992542,0.996847967992542,0.996847967992542,0.996847967992542,0.996847967992542,0.996847967992542,0.0,0.0,0.0,9.910089102304452
2021-04-18 16:00:00,9.013772139698418,-41.45137018610155,55.21506280527794,-42.4482181541403,54.218214837224615,0.9968479680222493,0.9968479680222493,0.9968479680222493,0.9968479680222493,0.9968479680222493,0.9968479680222493,0.0,0.0,0.0,10.010620107720667
